'('	0000
'2'	0001000
'k'	00010010
'J'	000100110
'A'	000100111
'+'	000101
't'	00011
','	0010
'7'	00110000
'lambda '	00110001
'6'	0011001
'0'	001101
'map('	001110000
'return'	001110001
'<'	00111001
'*'	0011101
'd'	001111
'H'	01000000
'def '	010000010
'%'	0100000110
'set('	01000001110
'^'	01000001111
'for '	0100001
'x'	010001
"'"	01001
'='	01010
'3'	01011000
'range('	010110010
'X'	010110011
'8'	01011010
'O'	010110110
'min('	0101101110
'G'	0101101111
'h'	0101110
' in '	0101111
']'	01100
'['	01101
'\n'	01110
'else'	011110000
'print('	011110001
'not '	0111100100
'input()'	0111100101
'sum('	01111001100
'all('	01111001101
'any('	011110011100
"''.join("	011110011101
' and '	0111100111100
'END'	0111100111101
'.find('	0111100111110
' or '	0111100111111
'4'	01111010
'v'	01111011
'm'	011111
'  '	100000
'"'	1000010
'/'	100001100
'R'	1000011010
'>'	1000011011
'S'	10000111
'r'	10001
'n'	10010
'   '	1001100
'b'	1001101
'from '	1001110000
'Z'	1001110001
'E'	100111001
'q'	100111010
'F'	100111011
'import '	100111100
'!'	100111101
'K'	100111110
'Y'	100111111
'e'	10100
'.split('	10101000000
'sorted('	10101000001
'.replace('	1010100001
'$'	10101000100
'W'	10101000101
'max('	10101000110
'N'	10101000111
'Q'	1010100100
'_'	1010100101
'I'	1010100110
'P'	1010100111
'w'	10101010
'}'	101010110
'\\'	101010111
's'	101011
'y'	10110000
'j'	10110001
';'	10110010
'L'	101100110
'{'	101100111
'1'	101101
'g'	10111000
'5'	10111001
'z'	10111010
'`'	1011101100
'T'	1011101101
'9'	101110111
'.'	1011110
'-'	1011111
'i'	11000
'U'	110010000
'V'	1100100010
'|'	11001000110
'?'	11001000111
'if '	11001001
'c'	1100101
'a'	110011
'l'	110100
'f'	110101
'len'	110110000
'C'	110110001
'M'	1101100100
'D'	1101100101
'@'	1101100110000
'#'	11011001100010
'&'	11011001100011
'.count'	110110011001
'zip('	11011001101
'~'	110110011100
'B'	110110011101
'elif '	110110011110
'list('	110110011111
'u'	1101101
':'	110111
' '	1110
'p'	111100
'o'	111101
')'	11111
